,Unnamed: 0,Rank,University,City,State,Tuition,Enrollment,url
156,156,#153,Quinnipiac University,Hamden,CT,49280,,www.qu.edu
157,157,#153,Rutgers University--Camden,Camden,NJ,31113,5739.0,https://camden.rutgers.edu/new/
158,158,#153,University of Alabama at Birmingham,Birmingham,AL,25380,13836.0,https://www.uab.edu
159,159,#160,Belmont University,Nashville,TN,37030,6808.0,www.belmont.edu
160,160,#160,Hofstra University,Hempstead,NY,47510,6498.0,www.hofstra.edu
161,161,#160,Mercer University,Macon,GA,37808,4865.0,https://www.mercer.edu/
162,162,#160,University at Albany--SUNY,Albany,NY,27826,13286.0,https://www.albany.edu/
163,163,#160,University of Arkansas,Fayetteville,AR,25872,23025.0,https://www.uark.edu
164,164,#160,University of Central Florida,Orlando,FL,22467,59483.0,www.ucf.edu/
165,165,#160,University of Maryland--Baltimore County,Baltimore,MD,27662,11060.0,https://www.umbc.edu/
166,166,#160,University of Mississippi,University,MS,25090,17150.0,www.olemiss.edu
167,167,#160,Valparaiso University,Valparaiso,IN,43286,3009.0,https://www.valpo.edu
168,168,#160,Virginia Commonwealth University,Richmond,VA,35358,22837.0,https://www.vcu.edu/
169,169,#170,Adelphi University,Garden City,NY,41435,5360.0,www.adelphi.edu/
170,170,#170,Kansas State University,Manhattan,KS,26196,17210.0,www.k-state.edu
171,171,#170,St. John's University (NY),Queens,NY,44760,17088.0,https://www.stjohns.edu/
172,172,#170,University of Hawaii--Manoa,Honolulu,HI,34218,12631.0,https://manoa.hawaii.edu/
173,173,#170,University of Idaho,Moscow,ID,27540,9392.0,www.uidaho.edu
174,174,#170,University of Rhode Island,Kingston,RI,32578,13790.0,web.uri.edu/
175,175,#176,CUNY--City College,New York,NY,18475,,https://www.ccny.cuny.edu/
176,176,#176,Missouri University of Science and Technology,Rolla,MO,30259,6462.0,https://www.mst.edu/
177,177,#176,Montclair State University,Montclair,NJ,21031,16687.0,www.montclair.edu
178,178,#176,Ohio University,Athens,OH,22406,20644.0,https://www.ohio.edu/
179,179,#176,St. John Fisher College,Rochester,NY,35150,2665.0,https://www.sjfc.edu/
180,180,#176,Thomas Jefferson University,Philadelphia,PA,41715,3734.0,www.jefferson.edu
181,181,#176,University of Houston,Houston,TX,26839,38597.0,www.uh.edu/
182,182,#176,University of Louisville,Louisville,KY,27954,15860.0,www.louisville.edu
183,183,#176,University of Massachusetts--Lowell,Lowell,MA,33624,14172.0,https://www.uml.edu/
184,184,#176,University of St. Joseph,West Hartford,CT,40286,904.0,https://www.usj.edu/
185,185,#176,Washington State University,Pullman,WA,27113,26062.0,wsu.edu/
186,186,#187,Biola University,La Mirada,CA,41976,4043.0,https://www.biola.edu
187,187,#187,Chatham University,Pittsburgh,PA,39902,1408.0,www.chatham.edu
188,188,#187,Florida International University,Miami,FL,18964,49004.0,www.fiu.edu
189,189,#187,Oklahoma State University,Stillwater,OK,24539,20024.0,https://go.okstate.edu/
190,190,#187,Pacific University,Forest Grove,OR,48260,1864.0,https://www.pacificu.edu
191,191,#187,Rowan University,Glassboro,NJ,22339,16011.0,https://www.rowan.edu
192,192,#187,University of Detroit Mercy,Detroit,MI,29416,2745.0,www.udmercy.edu
193,193,#187,University of New Mexico,Albuquerque,NM,24924,16662.0,https://www.unm.edu/
194,194,#187,University of North Carolina--Wilmington,Wilmington,NC,21871,14785.0,https://uncw.edu/
195,195,#196,Bethel University (MN),St. Paul,MN,39030,2799.0,https://www.bethel.edu/
196,196,#196,California State University--Fresno,Fresno,CA,12781,21462.0,https://www.csufresno.edu/
197,197,#196,Indiana University-Purdue University--Indianapolis,Indianapolis,IN,31626,21173.0,https://www.iupui.edu/
198,198,#196,Loyola University New Orleans,New Orleans,LA,42030,3188.0,www.loyno.edu
199,199,#196,Maryville University of St. Louis,St Louis,MO,28470,4454.0,https://www.maryville.edu/
200,200,#196,Robert Morris University,Moon Township,PA,32130,3770.0,www.rmu.edu
201,201,#196,Seattle Pacific University,Seattle,WA,47244,2717.0,https://spu.edu
202,202,#196,Towson University,Towson,MD,25508,19619.0,www.towson.edu
203,203,#196,University of Puerto Rico--Rio Piedras,Rio Piedras,PR,6162,,https://www.uprrp.edu/
